代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
9918,欣天然,其他,其他,20,2.42,72.46,151982,6740401,44.35,中
1303,南亞,其他,其他,20,3.67,52.75,88224120,7984282860,90.5,低
8908,欣雄,其他,其他,20,0.25,80.77,333787,13618509,40.8,高
3032,偉訓,其他,其他,20,13.87,77.37,2909709,262746731,90.3,高
2949,欣新網,其他,其他,20,4.13,83.54,1653,104139,63.0,高
5410,國眾,其他,其他,20,0.91,67.69,1123798,43828122,39.0,中
1723,中碳,其他,其他,20,1.72,61.07,930496,77045071,82.8,低
3704,合勤控,其他,其他,20,9.54,87.08,8602135,390106809,45.35,高
5353,台林,其他,其他,20,3.45,60.42,111024,2992096,26.95,低
4755,三福化,其他,其他,20,7.12,61.62,1771376,266592088,150.5,低
4770,上品,其他,其他,20,10.43,65.17,1058810,268937740,254.0,中
4747,強生,其他,其他,20,-2.59,63.49,49345,2787992,56.5,低
4744,皇將,其他,其他,20,2.07,67.83,293850,10123132,34.45,中
5878,台名,其他,其他,20,1.35,62.5,13168,542521,41.2,低
5701,劍湖山,其他,其他,20,6.74,57.41,343035,1248647,3.64,低
6862,三集瑞-KY,其他,其他,20,12.05,58.71,4184335,855696507,204.5,低
6859,伯特光,其他,其他,20,5.04,54.69,326587,40823375,125.0,低
6021,美好證,其他,其他,20,10.47,52.11,761097,26904777,35.35,低
8271,宇瞻,其他,其他,20,7.73,34.44,7530341,1784690817,237.0,低
2032,新鋼,其他,其他,20,7.23,61.26,1320007,23496123,17.8,低
6680,鑫創電子,其他,其他,20,8.22,68.57,1001,57957,57.9,中
6672,騰輝電子-KY,其他,其他,20,20.45,54.55,9641145,2072846175,215.0,低
6667,信紘科,其他,其他,20,5.51,57.83,2397529,642537772,268.0,低
6108,競國,其他,其他,20,4.68,36.36,3547497,71482063,20.15,低
3027,盛達,其他,其他,20,9.37,50.5,1864130,35884502,19.25,低
6821,聯寶,其他,其他,20,25.87,89.47,4273653,307703016,72.0,高
4737,華廣,其他,其他,20,4.17,52.68,187822,11250538,59.9,低
0051,元大中型100,其他,其他,20,3.81,60.24,169512,23324852,137.6,低
5483,中美晶,其他,其他,20,12.63,56.89,31210532,5009290386,160.5,低
5478,智冠,其他,其他,20,0.5,65.49,168275,16793845,99.8,中
5465,富驊,其他,其他,20,6.78,58.46,476512,12389312,26.0,低
2883,凱基金,其他,其他,20,3.5,41.57,88712694,1964986138,22.15,低
8354,冠好,其他,其他,20,3.95,65.52,292821,5007239,17.1,中
2937,集雅社,其他,其他,20,2.21,100.0,9607,466419,48.55,高
2929,淘帝-KY,其他,其他,20,5.63,57.74,2494654,14967924,6.0,低
3066,李洲,其他,其他,20,1.69,72.0,917944,19322720,21.05,中
5299,杰力,其他,其他,20,13.33,72.87,1493830,177765770,119.0,中
5292,華懋,其他,其他,20,4.76,54.81,479151,110683881,231.0,低
5285,界霖,其他,其他,20,9.88,87.77,5972939,538161794,90.1,高
6906,現觀科,其他,其他,20,41.46,87.92,400933,43501230,108.5,高
1809,中釉,其他,其他,20,6.51,60.67,12378021,516782376,41.75,低
2114,鑫永銓,其他,其他,20,2.46,86.0,136314,12513625,91.8,高
8131,福懋科,其他,其他,20,11.25,57.6,13206454,913886576,69.2,低
2612,中航,其他,其他,20,3.79,47.62,980634,56386455,57.5,低
2637,慧洋-KY,其他,其他,20,6.68,56.77,6107387,468436564,76.7,低
6134,萬旭,其他,其他,20,6.46,48.24,3762383,123970522,32.95,低
6125,廣運,其他,其他,20,16.11,63.27,4060318,266356854,65.6,低
6141,柏承,其他,其他,20,27.06,67.29,4178294,180502303,43.2,中
2718,全心投控,其他,其他,20,-1.73,73.42,86840,3942536,45.4,中
8446,華研,其他,其他,20,0.12,66.1,185677,15893950,85.6,中
5215,科嘉-KY,其他,其他,20,5.36,75.88,288164,13586933,47.15,高
3085,新零售,其他,其他,20,5.06,54.04,59158,736517,12.45,低
5274,信驊,其他,其他,20,8.49,55.76,250860,4474088100,17835.0,低
3357,臺慶科,其他,其他,20,11.42,79.03,9925316,2808864428,283.0,高
8455,大拓-KY,其他,其他,20,2.1,80.41,127965,5592070,43.7,高
2115,六暉-KY,其他,其他,20,5.28,58.23,481392,10566554,21.95,低
6716,應廣,其他,其他,20,17.74,71.51,1187696,139554280,117.5,中
6026,福邦證,其他,其他,20,5.86,42.25,6775206,110097097,16.25,低
2606,裕民,其他,其他,20,9.08,69.03,7534881,534223074,70.9,中
2546,根基,其他,其他,20,2.96,63.64,153282,13320206,86.9,低
4706,大恭,其他,其他,20,3.23,58.18,50508,1616256,32.0,低
1713,國化,其他,其他,20,2.92,65.55,516724,25500328,49.35,中
6570,維田,其他,其他,20,22.44,73.73,694082,41159062,59.3,中
4609,唐鋒,其他,其他,20,4.0,58.14,52000,297439,5.72,低
3528,安馳,其他,其他,20,33.06,68.6,1151433,130687645,113.5,中
3317,尼克森,二極體,二極體,20,9.38,83.23,6333417,524406946,82.8,高
8291,尚茂,其他,其他,20,60.43,100.0,67668,8999844,133.0,高
6207,雷科,其他,其他,20,18.38,84.05,19409649,2038013145,105.0,高
3628,盈正,其他,其他,20,5.03,46.3,276664,18481156,66.8,低
2066,世德,其他,其他,20,2.48,71.34,213885,12362552,57.8,中
6658,聯策,其他,其他,20,23.36,64.36,2029150,439310975,216.5,低
6603,富強鑫,其他,其他,20,9.84,52.29,3015573,74032314,24.55,低
6606,建德工業,其他,其他,20,4.89,57.69,417170,10742127,25.75,低
3481,群創,面板,其他,20,14.29,71.74,1257195758,58333885089,46.4,中
2206,三陽工業,其他,其他,20,0.33,66.67,2130626,127837560,60.0,中
2243,宏旭-KY,其他,其他,20,12.95,55.61,1548522,38480772,24.85,低
2247,汎德永業,其他,其他,20,3.42,44.26,169551,35860036,211.5,低
3305,昇貿,其他,其他,20,13.67,79.86,10401025,1643361950,158.0,高
3388,崇越電,其他,其他,20,14.55,51.06,4905259,544483749,111.0,低
4916,事欣科,其他,其他,20,3.74,88.87,5978009,612745922,102.5,高
1522,堤維西,其他,其他,20,6.07,45.64,3533797,111137918,31.45,低
8183,精星,其他,其他,20,4.38,49.18,888627,28569359,32.15,低
6235,華孚,其他,其他,20,6.17,53.18,2461477,107935762,43.85,低
6223,旺矽,其他,其他,20,4.69,62.09,1073934,6352319610,5915.0,低
2497,怡利電,其他,其他,20,7.04,50.34,3507789,213273568,60.8,低
2492,華新科,其他,其他,20,46.62,94.66,5981900,2332941000,390.0,高
5210,寶碩,其他,其他,20,6.85,54.4,1998772,57664572,28.85,低
3149,正達,其他,其他,20,18.55,78.01,34037261,2283900161,67.1,高
3479,安勤,其他,其他,20,17.02,90.57,3381021,464890387,137.5,高
8096,擎亞,其他,其他,20,12.04,77.95,14058522,1701081162,121.0,高
8101,華冠,其他,其他,20,6.15,64.84,5354,73885,13.8,低
6265,方土昶,其他,其他,20,22.97,67.2,14635325,787380473,53.8,中
8088,品安,其他,其他,20,11.65,61.27,8864805,535434235,60.4,低
4566,時碩工業,其他,其他,20,8.39,50.0,4638644,311716862,67.2,低
4555,氣立,其他,其他,20,24.03,80.36,3866421,223479130,57.8,高
3512,皇龍,其他,其他,20,0.98,73.33,99191,2038374,20.55,中
6957,裕慶-KY,其他,其他,20,2.19,60.53,171001,27958663,163.5,低
2347,聯強,其他,其他,20,1.54,62.41,5321920,456088527,85.7,低
6546,正基,其他,其他,20,6.88,69.01,1738703,140487207,80.8,中
6174,安碁,其他,其他,20,9.53,62.59,6924044,322314242,46.55,低
6166,凌華,其他,其他,20,9.28,87.54,4555851,589982704,129.5,高
6161,捷波,其他,其他,20,18.04,75.32,1446134,87057267,60.2,高
2064,晉椿,其他,其他,20,3.77,73.17,29086,399932,13.75,中
2061,風青,其他,其他,20,34.69,88.75,1237170,40826610,33.0,高
3570,大塚,其他,其他,20,0.88,62.5,110624,19082640,172.5,低
4938,和碩,其他,其他,20,5.44,46.91,16382287,1366282760,83.4,低
3265,台星科,其他,其他,20,6.48,61.11,3863032,730113048,189.0,低
2316,楠梓電,其他,其他,20,11.59,78.57,5758834,970363529,168.5,高
2321,東訊,其他,其他,20,17.72,80.23,6317,94439,14.95,高
