日期,代號,名稱,族群,分數,收盤價
2026-05-28,4305,世坤,其他,16,44.1
2026-05-28,3632,研勤,其他,16,8.74
2026-05-28,4432,銘旺實,其他,16,16.8
2026-05-28,6210,慶生,其他,16,21.2
2026-05-28,1341,富林-KY,其他,16,61.8
2026-05-28,8077,洛碁,其他,16,44.0
2026-05-28,4987,科誠,其他,16,81.6
2026-05-28,8147,正淩,其他,15,175.5
2026-05-28,2365,昆盈,其他,15,37.35
2026-05-28,3234,光環,其他,15,103.5
2026-05-28,6244,茂迪,其他,15,29.35
2026-05-28,4533,協易機,其他,15,32.0
2026-05-28,2413,環科,其他,15,49.55
2026-05-28,3362,先進光,其他,15,112.5
2026-05-28,2392,正崴,其他,15,37.6
2026-05-28,4721,美琪瑪,其他,15,90.4
2026-05-28,2923,鼎固-KY,其他,15,23.95
2026-05-28,3523,迎輝,其他,15,13.2
2026-05-28,2367,燿華,其他,14,67.1
2026-05-28,2002,中鋼,其他,14,19.1
2026-05-28,5381,合正,其他,14,26.2
2026-05-28,8908,欣雄,其他,14,40.7
2026-05-28,5015,華祺,其他,14,24.0
2026-05-28,6804,明係,其他,14,16.2
2026-05-28,3680,家登,其他,13,557.0
2026-05-28,5498,凱崴,其他,13,68.8
2026-05-28,6217,中探針,其他,13,276.0
2026-05-28,4951,精拓科,其他,13,124.5
2026-05-28,6150,撼訊,其他,13,66.8
2026-05-28,8234,新漢,其他,13,71.3
2026-05-28,5291,邑昇,其他,13,73.6
2026-05-28,6279,胡連,其他,13,116.5
2026-05-28,1723,中碳,其他,13,81.0
2026-05-28,3354,律勝,其他,13,32.5
2026-05-28,3290,東浦,其他,13,47.65
2026-05-28,1529,樂事綠能,其他,13,22.45
2026-05-28,3176,基亞,其他,13,34.65
2026-05-28,2838,聯邦銀,其他,13,20.5
2026-05-28,1904,正隆,其他,13,18.9
2026-05-28,3379,彬台,其他,13,40.7
2026-05-28,4549,桓達,其他,13,103.5
2026-05-28,6203,元大MSCI台灣,其他,13,70.8
2026-05-28,2364,倫飛,其他,13,67.3
2026-05-28,6270,倍微,其他,13,26.9
2026-05-28,1447,力鵬,其他,13,5.5
2026-05-28,6690,安碁資訊,其他,13,169.5
2026-05-28,6118,建達,其他,13,17.95
2026-05-28,6982,大井泵浦,其他,13,55.2
2026-05-28,3570,大塚,其他,13,171.0
2026-05-28,2025,千興,其他,13,12.1
2026-05-28,3567,逸昌,其他,13,29.0
2026-05-28,5245,智晶,其他,13,25.8
2026-05-28,6577,勁豐,其他,13,79.9
2026-05-28,2739,寒舍,其他,13,34.7
2026-05-28,6160,欣技,其他,13,16.15
2026-05-28,4924,欣厚-KY,其他,13,11.5
2026-05-28,8092,建暐,其他,13,17.5
2026-05-28,1817,凱撒衛,其他,13,39.2
2026-05-28,5276,達輝-KY,其他,13,19.9
2026-05-28,4735,豪展,其他,13,30.9
2026-05-28,4584,君帆,其他,13,43.1
2026-05-28,4554,橙的,其他,13,30.85
2026-05-28,4754,國碳科,其他,13,38.1
2026-05-28,6597,立誠,其他,13,72.8
2026-05-28,6154,順發,其他,13,13.35
2026-05-28,3531,先益,其他,13,23.15
2026-05-28,3093,港建*,其他,12,54.7
2026-05-28,2382,廣達,AI伺服器,11,312.0
2026-05-28,3260,威剛,其他,11,412.5
2026-05-28,3529,力旺,其他,11,3295.0
2026-05-28,6683,雍智科技,其他,11,1780.0
2026-05-28,5439,高技,其他,11,385.5
2026-05-28,2886,兆豐金,金融,11,39.45
2026-05-28,2388,威盛,其他,11,75.9
2026-05-28,1711,永光,其他,11,51.0
2026-05-28,1590,亞德客-KY,其他,11,1435.0
2026-05-28,3455,由田,其他,11,255.5
2026-05-28,3162,精確,其他,11,83.6
2026-05-28,3289,宜特,其他,11,169.5
2026-05-28,5371,中光電,其他,11,71.5
2026-05-28,2323,中環,其他,11,10.3
2026-05-28,2504,國產,其他,11,34.95
2026-05-28,2009,第一銅,其他,11,39.7
2026-05-28,5474,聰泰,其他,11,165.0
2026-05-28,2387,精元,其他,11,40.35
2026-05-28,6180,橘子,其他,11,39.95
2026-05-28,6441,廣錠,其他,11,25.45
2026-05-28,1903,士紙,其他,11,49.25
2026-05-28,1532,勤美,其他,11,20.8
2026-05-28,3306,鼎天,其他,11,46.65
2026-05-28,5438,東友,其他,11,19.3
2026-05-28,2314,台揚,其他,11,15.6
2026-05-28,2832,台產,其他,11,52.9
2026-05-28,1604,聲寶,其他,11,23.35
2026-05-28,8446,華研,其他,11,85.5
2026-05-28,2704,國賓,其他,11,42.15
2026-05-28,1315,達新,其他,11,62.0
2026-05-28,2905,三商,其他,11,13.55
2026-05-28,2017,官田鋼,其他,11,8.91
2026-05-28,2007,燁興,其他,11,7.44
2026-05-28,5016,松和,其他,11,26.1
2026-05-28,3492,長盛,其他,11,22.8
2026-05-28,1446,宏和,其他,11,15.7
2026-05-28,6560,欣普羅,其他,11,39.1
2026-05-28,4175,杏一,其他,11,54.0
2026-05-28,6241,易通展,其他,11,10.1
2026-05-28,1339,昭輝,其他,11,40.8
2026-05-28,3434,哲固,其他,11,29.0
2026-05-28,6527,明達醫,其他,11,70.4
2026-05-28,5520,力泰,其他,11,82.2
2026-05-28,3095,及成,其他,11,44.2
2026-05-28,5223,安力-KY,其他,11,25.5
2026-05-28,2496,卓越,其他,11,65.0
2026-05-28,4430,耀億,其他,11,17.1
2026-05-28,4153,鈺緯,其他,11,30.7
2026-05-28,1539,巨庭,其他,11,15.8
2026-05-28,6615,慧智,其他,11,32.85
2026-05-28,1443,立益物流,其他,11,25.1
2026-05-28,3226,龍鋒,其他,11,41.5
2026-05-28,6856,鑫傳,其他,11,51.0
2026-05-28,4609,唐鋒,其他,11,5.2
2026-05-28,5205,中茂,其他,11,23.85
2026-05-28,3693,營邦,其他,10,587.0
2026-05-28,2105,正新,其他,10,31.55
2026-05-28,6231,系微,其他,10,297.0
2026-05-28,3228,金麗科,其他,10,210.5
2026-05-28,6104,創惟,其他,10,99.0
2026-05-28,4971,IET-KY,其他,10,744.0
2026-05-28,2006,東和鋼鐵,其他,10,66.9
2026-05-28,5392,能率,其他,10,41.35
2026-05-28,3555,博士旺,其他,10,223.0
2026-05-28,2331,精英,其他,10,20.55
2026-05-28,1476,儒鴻,其他,9,331.0
2026-05-28,1215,卜蜂,其他,9,129.5
