代號,產業,族群,分數,5日漲幅,RSI,成交量,成交值,風險
6414,其他,其他,24,13.24,57.2,2198760,799249260,低
8390,其他,其他,24,7.52,79.01,930454,113050161,高
4168,其他,其他,24,12.55,82.14,870495,24591483,高
8091,其他,其他,24,6.11,77.7,431290,116017010,高
1717,其他,特化,24,16.23,57.64,86923320,7345020540,低
3564,其他,其他,24,14.43,72.12,409983,18859218,中
1727,其他,其他,24,14.07,67.17,11950139,1153188413,中
8227,其他,其他,24,16.62,56.9,3069010,688992745,低
4764,其他,其他,24,17.33,60.85,3156215,1110987680,低
4952,其他,其他,24,9.95,70.79,2260227,123634418,中
4939,其他,其他,24,14.91,48.01,26724969,1153182453,低
2313,其他,PCB,24,10.59,60.0,76339953,21527866746,低
2329,其他,AI伺服器,24,13.81,41.44,22857550,1337166675,低
3498,其他,其他,24,8.36,78.87,1079164,167810002,高
3504,其他,其他,24,9.83,73.03,3208646,265355014,中
8040,其他,其他,24,14.49,73.78,4975694,562253422,中
8032,其他,其他,24,11.53,66.01,369904,16997089,中
5388,其他,交換器ASIC,24,11.34,62.0,4483772,387397907,低
5228,其他,其他,24,14.77,80.61,378432,21759840,高
5483,其他,其他,24,20.0,55.88,31643881,5126308722,低
5471,其他,其他,24,5.16,68.39,2846758,150878174,中
6732,其他,其他,24,10.91,69.31,482402,88279566,中
6902,其他,其他,24,13.11,83.81,604961,83484618,高
2206,其他,其他,24,2.57,66.1,1895964,113378645,中
2332,其他,其他,24,11.83,68.92,6316947,98544375,中
6693,其他,其他,24,10.22,50.75,2041539,308272389,低
3372,其他,其他,24,15.75,71.3,2539596,55998089,中
6617,其他,其他,24,12.16,64.09,631703,46619683,低
3085,其他,其他,24,12.5,62.14,100514,1356939,低
5351,其他,其他,24,11.02,56.04,27148516,2242467380,低
6658,其他,其他,24,4.43,66.27,628069,133150628,中
3094,其他,其他,24,8.61,75.42,4546545,166403540,高
3380,其他,其他,23,12.76,54.59,7121870,254962940,低
4755,其他,其他,23,13.33,56.76,1178933,180376749,低
3031,其他,其他,23,15.06,56.39,6335186,208110850,低
3041,其他,其他,23,14.65,63.84,3957751,106859277,低
6234,其他,其他,23,23.6,39.2,11240913,609257493,低
2349,其他,其他,23,13.99,59.29,10536992,145937343,低
6862,其他,其他,23,10.09,55.5,1297632,240710736,低
2465,其他,工業電腦,23,13.76,49.59,3242548,278859128,低
6117,其他,其他,23,15.02,55.1,2227829,204737488,低
6552,其他,其他,23,21.12,59.47,2003000,69504101,低
3483,其他,其他,23,11.2,56.13,1208240,116353515,低
6913,其他,其他,23,11.2,58.96,896071,129034224,低
4956,其他,其他,23,20.14,51.39,10859359,547311710,低
8440,其他,其他,22,8.04,64.14,965839,23373304,低
8210,其他,機殼,22,3.99,60.9,1541829,2212524615,低
3661,其他,矽智財,22,6.75,63.59,1435544,7034165600,低
3646,其他,其他,22,3.02,60.0,51805,1235549,低
8097,其他,其他,22,0.7,78.5,88753,5121048,高
6204,其他,其他,22,7.9,71.43,868491,78251037,中
3006,其他,其他,22,-9.13,66.55,29366880,6725015520,中
2455,其他,顯示卡,22,4.49,68.52,3174016,1328325696,中
2451,其他,其他,22,3.72,56.03,8847965,2840196765,低
8182,其他,其他,22,20.33,52.09,3848346,169712052,低
1582,其他,其他,22,2.8,68.33,7255097,798060670,中
2527,其他,其他,22,9.85,62.79,924153,33500546,低
2485,其他,其他,22,4.96,62.6,24978629,1850916370,低
6263,其他,其他,22,8.55,75.43,254336,46797824,高
2546,其他,其他,22,3.44,67.31,184846,16137056,中
2637,其他,其他,22,5.71,47.34,5511954,418357317,低
6277,其他,其他,22,2.85,69.83,572275,43321215,中
6283,其他,其他,22,-0.2,64.47,592000,14740799,低
2891,其他,金融,22,2.42,64.71,65166486,3857856020,低
2850,其他,其他,22,2.17,70.83,609382,86227553,中
2816,其他,其他,22,2.08,68.63,305622,9764623,中
3138,其他,其他,22,8.28,63.87,3442544,607609016,低
6558,其他,儲能櫃,22,9.56,69.76,2412009,80199299,中
6598,其他,其他,22,0.0,71.91,272027,6664661,中
6585,其他,其他,22,3.12,77.89,168000,16111200,高
6121,其他,生技,22,5.45,64.74,966748,383315582,低
2390,其他,其他,22,7.21,71.54,1464488,15670021,中
3033,其他,其他,22,1.03,73.1,42556396,2093774715,中
3023,其他,其他,22,6.8,63.59,1619797,508616258,低
3028,其他,其他,22,0.12,68.22,5343584,434433395,中
3030,其他,其他,22,8.01,51.01,8007540,3347151720,低
6485,其他,其他,22,-3.57,65.02,3339471,360662868,中
6426,其他,其他,22,2.05,59.8,2275360,623448640,低
6194,其他,其他,22,6.81,72.55,116871,4032049,中
6190,其他,其他,22,3.61,64.62,9356994,752302331,低
2414,其他,其他,22,3.85,66.48,317382,16249958,中
6531,其他,車用,22,-7.05,57.08,4421451,4664630805,低
2347,其他,其他,22,2.63,56.41,5075455,435981592,低
5523,其他,其他,22,0.66,60.0,205171,6247457,低
3217,其他,其他,22,4.77,67.44,2669314,527189515,中
3209,其他,其他,22,0.82,74.63,7799538,576385870,中
3114,其他,其他,22,5.72,69.23,732328,20981196,中
2357,其他,其他,22,9.53,64.09,4216562,2955809962,低
5607,其他,其他,22,4.34,61.89,864630,43663815,低
5876,其他,其他,22,-0.13,66.67,13247498,526588045,中
5488,其他,其他,22,1.28,75.34,889215,10537198,高
2317,其他,手機AI,22,10.0,59.46,78164989,20635557096,低
5215,其他,其他,22,2.2,74.18,412723,19191619,中
5220,其他,其他,22,6.64,69.43,138114,3218056,中
3311,其他,其他,22,7.63,68.02,463711,15696616,中
5284,其他,其他,22,9.08,63.35,2037200,832196200,低
5258,其他,AI安控,22,-0.85,69.77,1342191,78249734,中
5236,其他,其他,22,8.14,71.67,454283,84496638,中
6762,其他,其他,22,-9.47,70.77,12120,2084640,中
6799,其他,其他,22,5.76,67.15,736079,74343979,中
6792,其他,其他,22,9.29,79.5,248125,17219875,高
6781,其他,其他,22,6.33,60.77,1959557,2469041820,低
4976,其他,其他,22,3.83,65.8,1380520,44866900,中
6899,其他,其他,22,5.72,67.29,477340,29976951,中
5209,其他,其他,22,2.74,68.42,52853,8932157,中
5014,其他,其他,22,7.35,75.77,418652,4584239,高
6680,其他,其他,22,8.22,67.92,1086,62879,中
8027,其他,其他,22,3.96,64.35,1284636,320516682,低
8044,其他,其他,22,-2.41,69.01,1600022,45280621,中
8039,其他,其他,22,6.41,56.95,17746156,2653050322,低
4585,其他,其他,22,2.73,56.83,867871,310263882,低
4931,其他,儲能櫃,22,9.23,67.06,11678298,2417407686,中
4766,其他,其他,22,2.74,55.0,1640016,615826008,低
3515,其他,其他,22,9.62,56.0,1252706,306912970,低
3530,其他,其他,22,5.04,57.2,565050,40062045,低
1709,其他,其他,22,5.79,62.5,2090901,40145300,低
4527,其他,其他,22,1.95,74.63,55023,2448523,中
4538,其他,其他,22,1.91,63.16,111481,2084694,低
4526,其他,重電,22,5.22,50.15,10584975,427103725,低
4306,其他,其他,22,3.31,78.13,2434853,34209685,高
3607,其他,其他,22,4.86,65.38,595100,8986010,中
3583,其他,其他,22,1.78,63.38,2753808,2522488128,低
4571,其他,其他,22,-2.16,61.41,1468446,333337242,低
1733,其他,其他,22,0.17,76.19,140759,4208694,高
8081,其他,其他,22,6.67,62.94,2153586,620232768,低
2027,其他,鋼鐵,22,3.16,62.27,27186498,1154066860,低
3576,其他,其他,22,10.57,67.74,40210431,778071855,中
1504,其他,重電,22,2.61,38.57,24965572,1767562573,低
1256,其他,其他,22,4.92,66.67,151914,29167488,中
1323,其他,其他,22,1.51,69.39,78604,1587800,中
2489,其他,其他,21,19.15,60.8,80071156,4059607670,低
2727,其他,其他,21,-0.21,57.14,759674,177763716,低
2516,其他,其他,21,10.57,55.0,1850325,25164420,低
6442,其他,封測,21,13.5,50.0,4919172,10133494320,低
6417,其他,其他,21,15.6,62.88,190680,27553260,低
2731,其他,觀光,21,3.75,55.56,1283514,213063324,低
3577,其他,其他,21,9.33,81.03,1706432,249992288,高
6224,其他,其他,21,15.26,54.68,3816739,322896113,低
6214,其他,其他,21,4.45,61.76,1547157,199583253,低
4534,其他,其他,21,18.39,58.67,1455561,37480695,低
6227,其他,其他,21,9.65,70.69,1542461,192807625,中
3689,其他,其他,21,10.13,54.55,7386917,963992668,低
2491,其他,其他,21,14.18,63.35,1289606,29080614,低
2851,其他,其他,21,0.29,69.52,3292002,115220070,中
3264,其他,其他,21,11.14,39.2,8864655,2034438322,低
2345,其他,交換器ASIC,21,11.25,52.14,3950276,10349723120,低
2409,其他,面板,21,16.27,62.37,565132881,12319896374,低
4961,其他,其他,21,2.63,64.86,1522593,267215071,低
6133,其他,其他,21,17.27,60.29,2816000,67865601,低
2474,其他,其他,21,13.93,52.21,22588383,4709677855,低
6538,其他,其他,21,15.49,78.6,672554,82724142,高
3221,其他,其他,21,17.75,63.18,9863148,556281562,低
3490,其他,其他,21,6.49,70.21,3918209,154377440,中
4551,其他,其他,21,7.9,61.98,746200,117153400,低
4749,其他,其他,21,12.17,60.36,2521881,2811897315,低
6903,其他,其他,21,13.77,51.48,1311807,552926650,低
6143,其他,其他,21,5.04,63.79,1365623,136562300,低
6146,其他,其他,21,3.0,46.34,1050652,234295396,低
3004,其他,其他,21,5.64,62.71,1631494,229224907,低
6205,其他,其他,21,13.52,36.1,6611390,571885235,低
1802,其他,其他,21,13.93,54.07,153822435,11198273737,低
4562,其他,其他,21,-1.63,55.19,2475115,104573608,低
1618,其他,其他,21,9.14,65.0,2681124,112070981,低
4545,其他,其他,21,13.08,59.32,318534,10463841,低
3441,其他,其他,21,7.37,67.9,3430329,177348011,中
6672,其他,其他,21,16.34,44.88,11655954,2447750340,低
1519,其他,變壓器,21,14.03,47.75,6230377,5470271006,低
3338,其他,其他,21,-1.8,54.51,3490436,266669315,低
6667,其他,其他,21,5.17,46.07,864736,228722672,低
6640,其他,其他,21,14.0,52.59,327289,466386825,低
3265,其他,其他,21,11.14,54.46,2089961,396047609,低
3163,其他,CPO,21,15.55,51.02,5861727,6447899700,低
2368,其他,PCB,21,11.34,45.66,5677144,7806073000,低
4979,其他,1.6T,21,11.74,42.0,16205957,10177340996,低
2338,其他,PCB,21,12.74,54.5,8506104,478043051,低
2340,其他,其他,21,16.4,47.92,14354313,575607929,低
2342,其他,其他,21,15.16,44.69,13261579,584172544,低
4991,其他,其他,21,11.86,57.35,5498906,4305643398,低
3071,其他,其他,21,13.75,63.18,1839450,60885792,低
3081,其他,1.6T,21,11.82,54.76,3409608,9836719080,低
5234,其他,其他,21,11.12,56.25,1004389,451472855,低
5274,其他,其他,21,17.16,52.08,321248,5856351040,低
8111,其他,其他,20,10.82,46.04,2415127,163262581,低
8240,其他,其他,20,11.07,49.03,3613874,246466195,低
1623,其他,其他,20,10.67,44.53,554874,132337449,低
4768,其他,其他,20,24.29,46.82,3293892,1660121568,低
6153,其他,零組件,20,10.4,53.33,6562044,125335042,低
6877,其他,其他,20,17.75,51.43,1273715,219715837,低
2615,其他,海運,19,0.86,58.11,9760647,798420954,低
8923,其他,其他,19,4.15,62.22,0,0,低
1447,其他,其他,19,-6.62,65.29,2260476,12432618,中
8455,其他,其他,19,-8.93,77.6,73232,2910972,高
3588,其他,其他,19,5.37,55.02,817569,52978473,低
3591,其他,其他,19,7.72,64.23,3285495,87065617,低
3652,其他,其他,19,7.94,61.97,298000,9521100,低
3666,其他,其他,19,7.66,64.15,151581,4365532,低
4540,其他,其他,19,2.39,54.47,15958581,1160188789,低
4536,其他,其他,19,2.24,74.29,382030,60933785,中
6462,其他,其他,19,-1.12,55.04,7313872,972744976,低
