股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
1707,葡萄王,99.6,101.72,108.08,115.71,834019,83068291,579936,11.05,-3.77
1708,東鹼,38.45,39.13,39.83,40.29,2428920,93391975,3198089,43.48,-2.78
1709,和益,19.2,18.88,18.54,18.25,2090901,40145300,1143773,62.7,5.79
1710,東聯,12.95,12.97,12.48,13.45,3202116,41467401,5793750,51.96,0.0
1711,永光,51.0,50.72,53.59,43.96,18274671,932008221,16178466,51.39,8.97
1712,興農,39.55,39.65,41.11,43.27,1033054,40857284,1336246,26.74,-2.35
1713,國化,49.25,48.49,47.49,47.28,479344,23607692,299869,63.08,4.34
1714,和桐,9.4,9.61,9.59,9.67,4279820,40230306,2960254,44.21,-1.26
1717,長興,84.5,82.48,79.59,71.92,86923320,7345020540,58701803,61.21,16.23
1718,中纖,6.31,6.41,6.48,7.0,5028837,31731961,3499110,38.39,-1.87
1720,生達,61.2,61.74,61.41,62.54,396744,24280733,278325,44.16,-0.97
1721,三晃,30.15,29.33,29.22,22.78,7602747,229222819,7292165,57.03,7.68
1722,台肥,45.65,45.92,46.74,46.33,3498941,159726661,2460736,45.48,-0.22
1723,中碳,81.0,81.76,79.82,78.14,714476,57872556,907003,53.48,1.63
1725,元禎,31.0,31.07,31.24,30.78,138430,4291330,132544,49.2,2.82
1726,永記,76.9,76.92,76.44,76.03,46137,3547935,46718,56.22,0.13
1727,中華化,96.5,98.6,85.47,64.75,11950139,1153188413,17438519,67.23,14.07
1730,花仙子,52.4,52.6,52.69,52.84,50331,2637344,56749,41.15,-0.95
1731,美吾華,21.4,21.5,21.6,21.75,414335,8866768,189871,36.56,-1.15
1732,毛寶,26.4,26.47,26.42,26.27,231135,6101963,234436,50.5,-1.12
1733,五鼎,29.9,29.79,28.96,29.27,140759,4208694,221960,61.25,0.17
1734,杏輝,30.6,30.63,30.85,31.14,322503,9868591,368658,41.24,-0.16
1735,日勝化,25.95,26.41,26.41,25.9,753631,19556725,772536,47.96,4.22
1736,喬山,116.5,119.0,122.2,123.98,644283,75058969,479026,42.83,-6.8
1737,臺鹽,31.55,31.53,31.55,31.7,102841,3244633,135703,46.84,0.16
1752,南光,32.5,32.58,33.1,35.03,74357,2416602,101703,26.77,-0.61
1760,寶齡富錦,60.5,61.14,63.22,62.95,184920,11187660,176697,37.85,-0.82
1762,中化生,39.7,39.04,35.52,30.91,543340,21570598,670353,66.75,2.45
1773,勝一,195.0,186.6,176.62,159.84,3128586,610074270,2275214,68.89,19.27
1776,展宇,18.15,18.43,17.62,16.41,132727,2408994,246400,57.41,1.4
1783,和康生,38.2,38.58,38.96,41.3,130061,4968330,179104,36.18,-1.93
1786,科妍,53.3,55.94,56.57,61.84,283341,15102075,334166,36.81,-10.12
1789,神隆,19.0,19.16,19.53,20.66,560610,10651590,744754,35.06,-0.52
1795,美時,191.5,196.3,208.98,224.24,1851401,354543291,2282737,34.82,-0.52
1802,台玻,72.8,70.9,68.63,63.29,153822435,11198273737,168746326,59.32,13.93
1805,寶徠,9.98,10.04,10.37,10.65,163654,1633266,152480,30.96,-2.63
1806,冠軍,7.97,8.03,8.18,8.41,516034,4112790,444490,36.11,-0.87
1808,潤隆,28.45,28.89,28.85,29.87,1470770,41843407,1648692,41.28,-2.57
1809,中釉,44.4,44.01,37.37,30.3,13151731,583936876,6149320,66.87,15.47
1810,和成,19.9,19.15,18.51,18.04,11121068,221309248,3555605,66.85,8.15
1817,凱撒衛,39.2,39.37,39.13,38.88,32947,1291522,49416,51.06,-0.76
1903,士紙,49.25,49.07,48.83,49.68,424995,20931003,351850,51.67,3.36
1904,正隆,18.9,19.01,18.45,18.44,1474226,27862870,1736899,52.87,2.72
1905,華紙,11.85,12.06,12.31,13.03,3135710,37158164,3692693,38.0,0.42
1906,寶隆,10.05,10.37,10.78,11.37,207862,2089013,194128,25.43,-3.37
1907,永豐餘,24.0,24.51,24.2,24.81,1788535,42924840,1097511,44.26,-0.83
1909,榮成,8.9,8.94,9.04,9.38,3158648,28111965,3100640,38.57,-0.56
2002,中鋼,19.1,18.98,18.64,19.22,96944022,1851630857,129805048,53.16,5.52
2006,東和鋼鐵,66.9,65.88,66.15,70.84,2369609,158526845,2237504,49.41,2.45
2007,燁興,7.44,7.33,7.27,7.79,581062,4323101,879411,51.12,7.36
2008,高興昌,28.15,27.81,27.73,27.87,26017,732378,22296,56.81,0.9
2009,第一銅,39.7,39.6,38.99,40.44,1725954,68520375,2075600,51.37,4.47
2010,春源,22.95,22.72,23.43,24.1,1724210,39570620,1766662,43.18,3.38
2012,春雨,14.5,14.52,14.75,15.47,60040,870580,113407,41.76,1.05
2013,中鋼構,42.4,42.35,42.49,43.38,124734,5288721,144885,46.04,1.07
2014,中鴻,18.0,17.87,17.72,17.96,8430805,151754490,15599557,52.22,5.88
2015,豐興,62.0,62.08,62.24,64.05,287471,17823202,313880,47.5,0.32
2017,官田鋼,8.91,8.8,8.74,9.37,812669,7240880,1222102,50.55,4.58
2020,美亞,21.25,21.46,21.71,23.27,763706,16228752,540611,35.25,-0.47
2022,聚亨,7.63,7.77,7.92,8.59,1288878,9834139,1634745,39.92,1.46
2023,燁輝,13.65,13.7,13.87,14.2,2492481,34022364,3478155,42.46,0.0
2024,志聯,13.8,14.07,13.86,14.51,12212,168525,21306,45.71,0.0
2025,千興,12.1,12.15,11.75,11.54,355177,4297641,548489,53.6,3.86
2027,大成鋼,42.45,42.38,39.93,38.08,27186498,1154066860,32038397,61.9,3.16
2028,威致,16.9,17.33,17.09,17.91,240990,4072730,325958,44.47,-0.29
2029,盛餘,20.45,20.5,20.29,20.54,293343,5998864,384091,51.35,0.49
2030,彰源,18.0,17.78,17.09,16.34,1773357,31920426,2251638,60.3,4.35
2031,新光鋼,38.85,38.78,39.25,39.56,928457,36070553,1261018,46.74,1.44
2032,新鋼,18.0,17.4,16.71,16.32,2386906,42964308,2284667,62.26,9.76
2033,佳大,15.1,15.34,15.24,15.82,185346,2798724,224629,41.15,-0.33
2034,允強,20.05,20.16,20.5,20.42,1599201,32063978,1784872,46.08,1.26
2038,海光,13.75,13.78,13.77,14.69,1089515,14980831,1559567,46.01,3.0
2049,上銀,409.0,392.7,357.05,286.77,7786460,3184662140,7215029,75.36,13.77
2059,川湖,4920.0,4984.0,4777.25,3892.25,561624,2763190080,298362,58.06,9.33
2062,橋椿,18.2,18.38,19.68,20.58,452927,8243271,698589,20.99,-1.89
2069,運錩,19.2,19.35,19.37,18.92,538306,10335475,526384,48.96,-0.78
2101,南港,29.75,30.43,32.16,33.85,3210216,95503926,2597815,32.05,-3.25
2102,泰豐,18.2,18.19,18.38,19.07,297521,5414882,384116,41.97,2.54
2103,台橡,18.8,19.56,20.15,19.91,7008969,131768611,4870116,40.22,-7.62
2104,國際中橡,9.86,9.98,10.15,11.38,2358126,23251121,2220378,34.35,-0.6
2105,正新,31.55,31.89,31.77,31.15,8985121,283480560,10462067,47.02,-1.56
2106,建大,16.65,16.71,17.01,17.93,979265,16304761,1131622,35.03,-0.3
2107,厚生,24.75,24.99,25.58,25.49,358600,8875350,334234,34.45,-1.79
2108,南帝,27.0,27.57,27.42,26.39,2378085,64208295,1612420,48.51,-2.0
2109,華豐,13.9,13.99,14.05,14.56,204576,2843606,166638,37.68,0.0
2114,鑫永銓,91.6,90.82,88.88,88.73,91242,8357767,158582,75.12,2.69
2115,六暉-KY,20.75,20.73,20.75,21.56,218444,4532713,90949,46.15,1.72
2201,裕隆,26.45,26.87,27.1,27.52,2788155,73746701,2852508,41.67,0.38
2204,中華,52.6,53.0,53.31,54.63,1692690,89035491,1593373,41.91,0.77
2206,三陽工業,59.8,59.78,58.35,58.53,1895964,113378645,1531901,59.97,2.57
2207,和泰車,466.5,463.4,471.2,492.8,498808,232693932,401754,42.09,0.0
2208,台船,18.1,18.34,19.45,20.54,4171744,75508567,3986629,33.56,-0.82
2211,長榮鋼,91.7,92.16,95.46,98.79,827041,75839657,725779,30.04,0.33
2227,裕日車,48.4,48.92,50.91,51.52,84677,4098366,31754,31.24,-0.82
2228,劍麟,81.9,83.14,85.22,88.44,249119,20402846,218064,37.45,1.87
2231,為升,104.5,106.0,110.85,108.91,525631,54928439,409975,40.19,0.48
2233,宇隆,365.0,363.1,319.32,259.63,2137336,780127640,3696016,69.13,9.94
2236,百達-KY,141.5,142.6,137.43,123.8,419522,59362363,644701,58.63,8.43
2239,英利-KY,22.3,22.37,22.04,23.03,110351,2460827,99470,48.98,3.72
2241,艾姆勒,36.35,37.22,33.19,30.77,1702111,61871732,3274127,62.21,8.35
2243,宏旭-KY,23.75,23.11,23.52,20.9,493050,11709937,715126,55.2,13.64
2247,汎德永業,204.5,205.3,209.45,227.84,68841,14077984,88628,30.73,0.25
2248,華勝-KY,54.3,54.52,55.1,52.49,37339,2027507,42459,48.69,-1.63
2250,IKKA-KY,60.7,61.82,62.97,63.47,118142,7171219,112187,39.5,-2.25
2301,光寶科,246.0,224.9,204.85,174.53,57539610,14154744060,39713641,74.81,20.59
2302,麗正,32.7,30.41,24.28,20.28,15419767,504226392,12029713,79.01,31.06
2303,聯電,143.5,125.8,103.61,76.48,280017949,40182575681,261404162,82.31,32.87
2305,全友,22.85,20.16,17.54,16.28,5955550,136084319,8297398,77.42,37.65
2308,台達電,2520.0,2257.0,2168.75,1778.83,13873795,34961963400,10660680,73.07,31.59
2312,金寶,37.35,35.39,30.13,25.96,165577436,6184316981,133636965,69.49,31.98
2313,華通,282.0,280.2,258.08,244.36,76339953,21527866746,84950087,58.12,10.59
2314,台揚,15.6,16.04,13.99,16.05,729824,11385254,1135466,55.55,6.85
2316,楠梓電,168.0,162.5,134.28,114.44,11948880,2007411840,12141002,73.42,22.18
2317,鴻海,264.0,256.3,246.4,221.64,78164989,20635557096,71404343,69.73,10.0
2321,東訊,15.0,13.56,13.04,13.96,51569,773535,18389,71.36,18.11
2323,中環,10.3,10.25,10.21,10.72,8294859,85437049,11009663,49.98,9.93
2324,仁寶,33.4,32.7,30.18,30.34,116358890,3886387103,189072615,61.76,21.01
2327,國巨*,701.0,650.8,467.45,341.76,24734027,17338552927,42850828,85.7,34.81
2328,廣宇,53.8,54.34,52.67,47.96,9401950,505824902,14226022,57.25,6.53
2329,華泰,58.5,56.16,57.36,55.87,22857550,1337166675,13800039,54.22,13.81
2330,台積電,2300.0,2273.0,2246.5,2039.33,34742201,79907062300,25989451,60.68,5.26
2331,精英,20.55,20.79,20.32,21.76,4006860,82340969,6408473,49.23,10.19
2332,友訊,15.6,15.37,14.29,14.86,6316947,98544375,7956569,65.39,11.83
2337,旺宏,155.5,151.8,157.07,138.15,242364279,37687645384,148966532,52.78,10.28
2338,光罩,56.2,55.18,50.85,49.1,8506104,478043051,12053610,63.32,12.74
2340,台亞,40.1,38.52,37.8,32.14,14354313,575607929,11447093,61.27,16.4
2342,茂矽,44.05,42.48,40.65,33.98,13261579,584172544,10069062,66.11,15.16
2344,華邦電,155.0,132.7,117.89,106.26,438816841,68016610355,304943314,73.93,34.2
2345,智邦,2620.0,2546.0,2480.5,1962.25,3950276,10349723120,3550645,62.3,11.25
2347,聯強,85.9,84.6,83.57,79.58,5075455,435981592,4070086,61.17,2.63
2348,海悅,67.9,68.48,70.15,74.23,431124,29273320,324728,27.88,-1.74
2349,錸德,13.85,13.46,12.77,13.18,10536992,145937343,11049831,58.59,13.99
2351,順德,229.0,204.0,180.0,132.15,12546557,2873161553,9406564,79.96,27.22
2352,佳世達,27.55,28.05,25.93,24.75,8050448,221789836,16319371,61.22,5.76
2353,宏碁,31.4,30.75,28.61,27.8,61704879,1937533177,77506198,67.22,14.39
2354,鴻準,59.7,60.08,59.05,54.83,11035714,658832134,11209270,56.41,3.83
2355,敬鵬,62.6,64.98,56.44,50.95,29378068,1839067011,44781148,60.65,5.92
2356,英業達,62.0,60.72,52.5,46.51,79660687,4938962594,115721104,72.49,20.62
2357,華碩,701.0,689.4,648.7,595.75,4216562,2955809962,5024695,67.51,9.53
2359,所羅門,144.5,141.0,129.22,119.68,10223418,1477283901,7194976,67.21,13.33
2360,致茂,2625.0,2425.0,2287.75,1876.75,2634558,6915714750,2581801,68.81,27.12
2362,藍天,41.05,41.16,39.63,38.78,1376124,56489889,1972354,59.61,5.8
2363,矽統,66.8,66.62,60.54,53.92,26991623,1803040498,32111220,64.72,11.15
